feature_id,category,feature
714,actors,Arlene Francis
715,actors,Arliss Howard
716,actors,Armand Assante
717,actors,Armando Brancia
718,actors,Armie Hammer
719,actors,Armin Mueller-Stahl
720,actors,Arnetia Walker
721,actors,Arno Frisch
722,actors,Arnold Johnson (actor)
723,actors,Arnold Ridley
724,actors,Arnold Schwarzenegger
725,actors,Arnold Stang
726,actors,Arnold Vosloo
727,actors,Aron Warner
728,actors,Arsenio Hall
729,actors,Arsher Ali
730,actors,Arsinée Khanjian
731,actors,Art Carney
732,actors,Art Evans (actor)
733,actors,Art Garfunkel
734,actors,Art Hindle
735,actors,Art Hsu
736,actors,Art Malik
737,actors,Art Metrano
738,actors,Art Parkinson
739,actors,Arthur Agee
740,actors,Arthur Brown (musician)
741,actors,Arthur Byron
742,actors,Arthur Chesney
743,actors,Arthur Franz
744,actors,Arthur Hill (Canadian actor)
745,actors,Arthur Hunnicutt
746,actors,Arthur Kennedy
747,actors,Arthur Kennedy (actor)
748,actors,Arthur Lowe
749,actors,Arthur Malet
750,actors,Arthur O'Connell
751,actors,Arthur Treacher
752,actors,Artie Lange
753,actors,Artyom Bystrov
754,actors,Arundathi Nag
755,actors,Aryana Engineer
756,actors,Arye Gross
757,actors,Asa Butterfield
758,actors,Ashanti (singer)
759,actors,Ashleigh Aston Moore
760,actors,Ashley Bell (actress)
761,actors,Ashley Benson
762,actors,Ashley C. Williams
763,actors,Ashley Crow
764,actors,Ashley Greene
765,actors,Ashley Hinshaw
766,actors,Ashley Jensen
767,actors,Ashley Johnson (actress)
768,actors,Ashley Judd
769,actors,Ashley Laurence
770,actors,Ashley Palmer (actress)
771,actors,Ashley Rickards
772,actors,Ashley Scott
773,actors,Ashley Springer
774,actors,Ashley Tisdale
775,actors,Ashley Williams (actress)
776,actors,Ashlie Atkinson
777,actors,Ashraf Barhom
778,actors,Ashton Holmes
779,actors,Ashton Kutcher
780,actors,Asia Argento
781,actors,Asif Basra
782,actors,Assumpta Serna
783,actors,Atticus Shaffer
784,actors,Aubrey Plaza
785,actors,Audie England
786,actors,Audie Murphy
787,actors,Audra Lindley
788,actors,Audra McDonald
789,actors,Audrey Dalton
790,actors,Audrey Hepburn
791,actors,Audrey Long
792,actors,Audrey Tautou
793,actors,Audrey Wasilewski
794,actors,August Diehl
795,actors,August Schellenberg
796,actors,August Zirner
797,actors,Auliʻi Cravalho
798,actors,Aunjanue Ellis
799,actors,Aura Garrido
800,actors,Aurélien Recoing
801,actors,Austin Abrams
802,actors,Austin O'Brien
803,actors,Austin Pendleton
804,actors,Austin Stoker
805,actors,Autumn Reeser
806,actors,Ava Fabian
807,actors,Ava Gardner
808,actors,Avery Brooks
809,actors,Avery Schreiber
810,actors,Aviva (actress)
811,actors,Aya Cash
812,actors,Aya Okamoto
813,actors,Aya Uchida
814,actors,Aya Ueto
815,actors,Ayahi Takagaki
816,actors,Ayako Fujitani
817,actors,Ayana Taketatsu
818,actors,Ayelet Zurer
819,actors,Ayesha Dharker
820,actors,Ayrton Senna
821,actors,Ayumi Ito
822,actors,Aziz Ansari
823,actors,Azura Skye
824,actors,B. Constance Barry
825,actors,B. D. Wong
826,actors,B. J. Novak
827,actors,B. J. Ward (actress)
828,actors,B.B. King
829,actors,B.D. Wong
830,actors,B.S. Pully
831,actors,BD Wong
832,actors,Babe Ruth
833,actors,Babou Ceesay
834,actors,Bae Doona
835,actors,Bahar Soomekh
836,actors,Bai Ling
837,actors,Bailee Madison
838,actors,Balthazar Getty
839,actors,Bam Margera
840,actors,Banksy
841,actors,Barbara Bach
842,actors,Barbara Barrie
843,actors,Barbara Bates
844,actors,Barbara Baxley
845,actors,Barbara Bel Geddes
846,actors,Barbara Bouchet
847,actors,Barbara Britton
848,actors,Barbara Carrera
849,actors,Barbara Cook
850,actors,Barbara Crampton
851,actors,Barbara Cupisti
852,actors,Barbara Eden
853,actors,Barbara Hale
854,actors,Barbara Harris (actress)
855,actors,Barbara Hershey
856,actors,Barbara Lawrence
857,actors,Barbara Luddy
858,actors,Barbara Magnolfi
859,actors,Barbara Nedeljáková
860,actors,Barbara Nichols
861,actors,Barbara Rush
862,actors,Barbara Shelley
